,rates
AED,3.989805
AFN,89.674471
ALL,109.519969
AMD,416.795431
ANG,1.946187
AOA,896.120976
ARS,380.148577
AUD,1.68176
AWG,1.955225
AZN,1.845058
BAM,1.954372
BBD,2.180407
BDT,118.193631
BGN,1.954552
BHD,0.409493
BIF,3055.73892
BMD,1.086236
BND,1.463703
BOB,7.461548
BRL,5.271176
BSD,1.079911
BTC,3.9586049e-05
BTN,89.356704
BWP,14.534379
BYN,2.725708
BYR,21290.23039
BZD,2.176709
CAD,1.474229
CDF,2699.296719
CHF,0.955709
CLF,0.033715
CLP,930.307072
CNY,7.921595
COP,4464.5939
CRC,582.263796
CUC,1.086236
CUP,28.78526
CVE,110.184484
CZK,24.103181
DJF,192.269501
DKK,7.454074
DOP,61.295209
DZD,148.575694
EGP,33.621201
ERN,16.293544
ETB,59.652084
EUR,1.0
FJD,2.452667
FKP,0.86124
GBP,0.860462
GEL,2.86225
GGP,0.86124
GHS,12.311004
GIP,0.86124
GMD,66.097342
GNF,9274.137644
GTQ,8.482801
GYD,226.104776
HKD,8.523039
HNL,26.587694
HRK,7.476347
HTG,146.352381
HUF,380.356178
IDR,16559.943105
ILS,4.126915
IMP,0.86124
INR,89.926946
IQD,1414.26654
IRR,45920.637483
ISK,142.112101
JEP,0.86124
JMD,166.928787
JOD,0.769158
JPY,159.128204
KES,157.884081
KGS,95.857634
KHR,4483.702943
KMF,494.237105
KPW,977.607645
KRW,1439.931082
KWD,0.334951
KYD,0.899942
KZT,499.774795
LAK,21193.513065
LBP,16209.055405
LKR,347.206283
LRD,202.039621
LSL,20.106092
LTL,3.207373
LVL,0.657054
LYD,5.220185
MAD,10.951997
MDL,19.275914
MGA,4881.455398
MKD,61.528752
MMK,2267.742871
MNT,3775.436133
MOP,8.727123
MRO,387.786152
MUR,50.187947
MVR,16.726262
MWK,1171.249513
MXN,18.228978
MYR,5.042272
MZN,68.704388
NAD,20.106447
NGN,821.301931
NIO,39.510764
NOK,11.529442
NPR,142.970526
NZD,1.827972
OMR,0.41821
PAB,1.079911
PEN,3.993182
PGK,3.953093
PHP,61.659655
PKR,328.555312
PLN,4.474769
PYG,7855.259852
QAR,3.955019
RON,4.941398
RSD,117.286073
RUB,104.278569
RWF,1286.365923
SAR,4.074704
SBD,9.091275
SCR,14.291622
SDG,646.078926
SEK,11.840087
SGD,1.469607
SHP,1.321678
SLE,24.236653
SLL,21453.165893
SOS,617.527623
SRD,41.649019
SSP,653.377715
STD,22482.897157
SYP,14122.246976
SZL,20.014375
THB,38.154039
TJS,11.862532
TMT,3.812689
TND,3.359187
TOP,2.589641
TRY,28.939943
TTD,7.341635
TWD,34.617803
TZS,2721.022138
UAH,39.884838
UGX,4019.063112
USD,1.086236
UYU,40.950987
UZS,13050.463512
VEF,3518334.497085
VES,34.909811
VND,26271.166689
VUV,132.069621
WST,3.024878
XAF,655.481031
XAG,0.044184
XAU,0.000561
XCD,2.935608
XDR,0.813905
XOF,655.478016
XPF,120.26848
YER,271.939023
ZAR,20.183953
ZMK,9777.430387
ZMW,21.625198
ZWL,349.767628
